feature,anova_f,anova_pvalue,mutual_info,rf_importance,mean_rank_score
global_lab_ch0_hist_10,2403.9656080132286,0.0,0.6914656801010424,0.0018078252233770466,75.33333333333333
global_rgb_g_std,2760.173655440911,0.0,0.5769607753529116,0.00255829300506521,75.66666666666667
global_lab_l_std,3091.7866046735553,0.0,0.5847702973664031,0.002023354481274443,78.0
global_lab_ch2_hist_5,2746.259979553086,0.0,0.47915154901156254,0.011459263818464384,78.66666666666667
roi_hsv_ch1_hist_7,2077.4179566952457,0.0,0.5227064631685638,0.007369070988635505,83.66666666666667
global_lab_b_min,2817.249393784102,0.0,0.5076405506798274,0.004642779481006603,84.33333333333333
roi_lab_ch1_hist_10,1893.57514272421,0.0,0.5051742414920963,0.013798318445203218,84.66666666666667
roi_rgb_r_median,2140.2776987629104,0.0,0.5624651567333221,0.0033188790637535613,85.66666666666667
global_rgb_r_mean,2177.3306575379875,0.0,0.6664024096709529,0.0015980457924477018,86.0
roi_glcm_dissimilarity_min,1583.8211690102949,0.0,0.7187229919802358,0.0023857009383045293,86.66666666666667
roi_rgb_ch1_hist_7,1577.3602107318025,0.0,0.5387648058417158,0.00934328068378131,89.0
roi_rgb_r_q25,2017.6065609132058,0.0,0.554764149350339,0.004008215041239755,89.33333333333333
roi_brightness,1836.2656842533233,0.0,0.5593856126618746,0.0040760786576133105,92.33333333333333
global_hsv_s_q25,1969.7852873200395,0.0,0.6986758527071724,0.0013981588588365844,93.33333333333333
roi_lab_b_mean,2089.396861858357,0.0,0.5632054566527602,0.002416084914082126,94.66666666666667
global_gray_hist_16,868.9363257451394,0.0,0.6203149736271849,0.008434012219185664,95.0
global_rgb_r_std,2438.559280415381,0.0,0.5887614378444552,0.0013728464171256765,98.66666666666667
roi_gray_mean,1836.2656842533233,0.0,0.5593856126618746,0.0030539465108695347,99.33333333333333
roi_lab_b_min,2952.3897726108,0.0,0.5026913332586891,0.002572389160253157,99.66666666666667
global_lab_a_q75,925.6707858950947,0.0,0.6829898518334672,0.00416461619829079,100.0
global_hsv_ch1_hist_8,1198.5112911219353,0.0,0.6595829350366142,0.002665574140445362,103.0
